file_name	val_mean_us	aro_mean_us	val_sd_us	aro_sd_us	val_n_us	aro_n_us	val_cilo_us	val_ciup_us	aro_cilo_us	aro_ciup_us	val_mean_ch	aro_mean_ch	val_sd_ch	aro_sd_ch	val_n_ch	aro_n_ch	val_cilo_ch	val_ciup_ch	aro_cilo_ch	aro_ciup_ch	val_diff	aro_diff	val_bf_10	val_bf_01	aro_bf_10	aro_bf_01	val_resid	aro_resid	black_px	white_px	keywords	source
abuse.png	1.729166667	6.614583333	0.999780678	2.33224442	96	96	1.529172553	7.081120811	1.529172553	7.081120811	2.98019802	4.756302521	1.574675827	2.045940116	101	119	2.673098905	5.123895771	2.673098905	5.123895771	1.251031353	1.858280812	944.3994826	0.001058874	2335.914533	0.000428098	-0.921259152	1.868590926	35243	54757	fight, aggression, scared, aggressive, hitting, violence, threat, anger, rage	Anna Lumaca
abuse2.png	1.52173913	6.694736842	0.966223655	2.68198753	92	95	1.32430063	7.234052517	1.32430063	7.234052517	2.6875	4.336283186	1.835737572	2.407616706	112	113	2.347522891	4.780194503	2.347522891	4.780194503	1.16576087	2.358453656	125.9104133	0.007942155	13875.94616	7.21E-05	-7.76E-01	2.14E+00	2.27E+04	6.73E+04	yelling, humiliation, violence, family, threat, punishment, scared, belt, fear, oppression, suppression	Anna Lumaca
accident.png	1.322916667	7	0.945847341	2.643761276	96	96	1.133711269	7.528852682	1.133711269	7.528852682	2.138613861	4.457627119	1.618824901	2.790839924	101	118	1.822904631	4.961176439	1.822904631	4.961176439	0.815697195	2.542372881	22.89238956	0.043682639	48842.46926	2.05E-05	-3.13E-01	2.39E+00	1.23E+04	7.77E+04	crash, harm, car, hit, car crash, hit, woman	Pixabay
accident2.png	2.287234043	6.704081633	1.308552023	2.03682178	94	98	2.022703905	7.10734436	2.022703905	7.10734436	2.48	4.711711712	1.527392973	2.379409351	100	111	2.180636478	5.154356918	2.180636478	5.154356918	0.192765957	1.992369921	0.21697759	4.608770892	12270.52971	8.15E-05	2.40E-01	1.98E+00	9.60E+03	8.04E+04	collision, crash, hit, pileup, rear-end collision, car, crash	Pixabay
ache.png	3.072916667	4.5	1.258610693	1.852452144	96	96	2.821146718	4.870560797	2.821146718	4.870560797	3.821782178	4.230769231	1.329631826	1.39200064	101	117	3.562472452	4.482997985	3.562472452	4.482997985	0.748865512	0.269230769	87.54495947	0.011422702	0.255081064	3.920322357	-0.591570125	-0.006928449	19710	70290	ache, pain, suffering, back pain, hurting, exhaustion, back, man, hunch	Pixabay
ache2.png	3.467391304	4.829787234	1.190171167	1.71419311	92	94	3.224191287	5.176319684	3.224191287	5.176319684	3.796460177	4.684210526	1.434020896	1.403634911	113	114	3.532058413	4.941872202	3.532058413	4.941872202	0.329068873	0.145576708	0.45867322	2.180201407	0.202960789	4.927060067	-0.166583918	0.116589319	17182	72818	ache, hurt, back pain, man	Pixabay
acrobat.png	7.064220183	5.793814433	1.292966939	1.749631773	109	97	6.821490851	6.141998489	6.821490851	6.141998489	6.6	6.12962963	1.392621248	1.388151414	100	108	6.327051251	6.391431686	6.327051251	6.391431686	0.464220183	0.335815197	1.699509285	0.588405141	0.323226589	3.093804884	0.052139167	0.423098491	13351	76649	flexible, gracefulness, athlete, ring, circus, air dance, female dancer, aerial acrobat, trapezist, dance	Pixabay
acrobat2.png	6.563829787	6.285714286	1.266257806	1.888653041	94	98	6.307849631	6.659641639	6.307849631	6.659641639	6.44	6.178571429	1.437731097	1.434543502	100	112	6.158209883	6.444247721	6.158209883	6.444247721	0.123829787	0.107142857	0.181627105	5.505786152	0.220197785	4.541371755	-0.255460343	0.892734825	16345	73655	flexible, dancing, circus, trapeze, air dance, female dancer, aerial acrobat, trapezist, circus, sports, entertainment, amusement, excitement	Cleanpng
acrobat3.png	7.09375	6.177083333	1.369426503	1.75915525	96	96	6.81981268	6.528981207	6.81981268	6.528981207	6.742574257	6.478991597	1.467334082	1.370690408	101	119	6.456409327	6.725262999	6.456409327	6.725262999	0.351175743	0.301908263	0.548318047	1.823759048	0.225479815	4.434986785	-0.090124875	0.647443387	12165	77835	balancing, splits, sport, split, air dance, female dancer, aerial acrobat, trapezist, circus	Publicdomainvectors
aerobics.png	7.108695652	5.736842105	1.515172509	1.828908094	92	95	6.79908474	6.104613689	6.79908474	6.104613689	6.598214286	5.869565217	1.479346224	1.448058223	112	115	6.324240565	6.13422332	6.324240565	6.13422332	0.510481366	0.132723112	1.88750863	0.529798902	0.153401089	6.518858545	0.09876632	0.484428902	15026	74974	dancing, moving, dance, fitness, female dancer, dance, gymnastics, dance, sports	Pixabay
